0;0;0;0;land;false;unknown;0
1;254;227;146;land;false;desert;1
2;222;189;185;land;false;hills;1
3;199;162;192;land;false;desert;1
4;203;240;165;land;false;hills;1
5;215;221;195;land;false;plains;1
6;235;122;171;land;false;hills;1
7;106;253;153;land;false;desert;1
8;188;196;127;land;false;desert;1
9;203;250;136;land;false;hills;1
10;238;52;254;land;false;plains;1
11;149;246;136;land;false;mountain;1
12;251;249;215;land;false;desert;1
13;185;132;200;land;false;hills;1
14;75;187;247;land;false;hills;1
15;120;214;171;land;false;forest;1
16;58;197;252;land;false;desert;1
17;232;144;213;land;false;hills;1
18;187;219;169;land;false;desert;1
19;103;190;210;land;false;desert;1
20;109;180;244;land;false;desert;1
21;238;208;93;land;false;desert;1
22;192;207;133;land;true;forest;1
23;238;172;229;land;false;desert;1
24;156;199;220;land;false;desert;1
25;189;193;247;land;false;forest;1
26;155;180;222;land;false;mountain;1
27;244;232;178;land;false;hills;1
28;52;211;250;land;false;desert;1
29;161;226;118;land;false;forest;1
30;77;187;239;land;false;mountain;1
31;249;195;152;land;true;desert;1
32;254;142;146;land;false;forest;1
33;232;215;112;land;false;plains;1
34;245;219;152;land;false;desert;1
35;121;246;181;land;false;forest;1
36;231;250;73;land;false;desert;1
37;227;202;224;land;false;forest;1
38;251;231;142;land;false;desert;1
39;218;189;110;land;false;desert;1
40;197;239;200;land;false;desert;1
41;58;235;240;land;false;desert;1
42;221;187;179;land;false;desert;1
43;136;207;209;land;false;forest;1
44;206;189;167;land;false;forest;1
45;254;251;221;land;false;desert;1
46;125;251;166;land;false;desert;1
47;149;153;248;land;false;forest;1
48;238;249;82;land;false;desert;1
49;185;191;237;land;false;plains;1
50;206;87;234;land;false;hills;1
51;187;191;149;land;false;forest;1
52;252;222;254;land;false;desert;1
53;211;200;156;land;false;plains;1
54;245;140;149;land;true;forest;1
55;217;148;233;land;false;hills;1
56;232;214;253;land;true;forest;1
57;250;230;216;land;false;forest;1
58;205;73;242;land;false;forest;1
59;175;193;183;land;false;hills;1
60;207;125;254;land;false;forest;1
61;182;109;224;land;false;desert;1
62;227;232;147;land;false;forest;1
63;216;249;81;land;false;forest;1
64;52;253;227;land;false;forest;1
65;187;223;175;land;false;forest;1
66;178;230;233;land;false;hills;1
67;246;203;182;land;false;forest;1
68;168;254;235;land;false;hills;1
69;250;41;251;land;false;mountain;1
70;151;232;135;land;false;plains;1
71;224;225;118;land;false;plains;1
72;253;77;183;land;false;plains;1
73;155;191;208;land;false;forest;1
74;229;231;94;land;false;desert;1
75;215;217;231;land;false;forest;1
76;167;226;108;land;false;mountain;1
77;109;199;194;land;false;desert;1
78;250;117;200;land;true;forest;1
79;206;92;207;land;false;forest;1
80;187;89;231;land;false;forest;1
81;46;240;225;land;false;forest;1
82;150;173;238;land;false;desert;1
83;189;186;242;land;false;desert;1
84;212;234;115;land;false;forest;1
85;76;176;252;land;false;mountain;1
86;250;178;227;land;false;hills;1
87;162;192;156;land;false;desert;1
88;169;173;162;land;false;forest;1
89;130;254;222;land;false;forest;1
90;88;217;212;land;false;desert;1
91;235;172;192;land;false;forest;1
92;247;224;48;land;false;plains;1
93;20;241;245;land;false;hills;1
94;115;222;228;land;false;mountain;1
95;238;137;150;land;false;desert;1
96;248;145;117;land;false;hills;1
97;182;163;218;land;false;hills;1
98;58;219;237;land;false;hills;1
99;226;223;190;land;false;desert;1
100;220;142;177;land;true;hills;1
101;240;248;214;land;false;plains;1
102;201;167;209;land;false;forest;1
103;245;222;223;land;false;forest;1
104;187;158;214;land;false;forest;1
105;251;145;241;land;false;forest;1
106;223;112;166;land;false;desert;1
107;216;233;97;land;true;hills;1
108;211;149;248;land;false;desert;1
109;254;33;223;land;false;forest;1
110;243;210;151;land;false;mountain;1
111;168;218;151;land;false;desert;1
112;147;145;232;land;false;forest;1
113;250;43;246;land;true;desert;1
114;159;188;177;land;false;desert;1
115;171;254;107;land;false;desert;1
116;212;239;133;land;false;forest;1
117;209;187;237;land;false;desert;1
118;216;123;178;land;true;plains;1
119;238;200;81;land;false;desert;1
120;234;203;102;land;false;desert;1
121;241;100;232;land;false;plains;1
122;148;242;158;land;false;desert;1
123;204;172;244;land;true;forest;1
124;49;225;251;land;false;hills;1
125;74;239;222;land;false;hills;1
126;229;208;177;land;false;forest;1
127;237;233;50;land;false;desert;1
128;214;124;190;land;false;desert;1
